㓏	[冫冂口,xmos,jiǒng]
㓐	[冫土土,xjjs,lù]
㓑	[冫土十,xjes,xìng]
㓒	[冫七丶,xfws,]
㓓	[冫十十,xees,nán]
㓔	[冫身寸,xtis,xiè]
㓕	[冫戊火,xfxs,]
㓖	[冫日十,xkes,bì_bié]
㓗	[冫丰糸,xias,jié_qǐ]
㓘	[几歹丶,qgwj,sù]
㓙	[文凵,yauw,]
㓚	[工刂,ildg,gōng]
㓛	[工刀,iddg,]
㓜	[幺刀,addy,yòu]
㓝	[キ丨刂,fkld,xíng]
㓞	[丰刀,iddf,qì_qià_yáo]
㓟	[皮刂,dldp,pí]
㓠	[⺊口刂,lold,diàn_diǎn]
㓡	[缶刂,pldf,fǔ_fǒu_guā]
㓢	[夂口刂,vold,luò]
㓣	[人一口刂,ugol,qià_gē]
㓤	[士口刂,jold,jié_qià]
㓥	[⺌彐刂,nbld,tāng]
㓦	[丆日刂,gkld,bāi]
㓧	[人丶口刂,uwol,yǎn_gān]
㓨	[大人刂,fuld,cí_cì]
㓩	[⺈用刂,qsld,jiē_xuān]
㓪	[丶彐厶刀,wbad,lǎng]
㓫	[大一刂,fgld,]
㓬	[丷夫刀刂,xjdl,]
㓭	[曰勹乚刂,kscl,hé_shé]
㓮	[⺆土口刂,sjol,]
㓯	[巛田刂,cklc,lí]
㓰	[一田凵刂,gkal,huà]
㓱	[人一刂刂,ugll,tóu_shū]
㓲	[户冊刂,zmlh,piàn_piān]
㓳	[日一龰刂,kgll,dī]
㓴	[而大刂,gfle,jùn_ruǎn]
㓵	[吅一刂,oglx,è]
㓶	[丰刀刂,idlf,qiè]
㓷	[自木刂,tilz,yì]
㓸	[匚コ刂,fdlf,jué_zhuó_dōu_zhuō]
㓹	[厂火刂,gxlc,ruì_cuì_jì]
㓺	[虍文刂,lylh,jiàn_jiān_qián]
㓻	[罒一刂,mglw,]
㓼	[木人水刂,iual,chì_chòng]
㓽	[山宀示刂,mwfl,chóng]
㓾	[尸水牛刂,dapl,chí_xī]
㓿	[禾人水刂,rual,]
㔀	[日亠小刂,kycl,lüè_qíng]
㔁	[癶一䒑刂,dgxl,dēng]
㔂	[米夕刂,xqlm,lín]
㔃	[糹⺈巴刀,aqdd,jué_pì_xuē]
㔄	[西米刂,exlx,sù]
㔅	[彐十爿刂,beal,xiào]
㔆	[匚儿刂,fvlf,zàn]
㔇	[癶弓殳刂,ddql,pō]
㔈	[艹非刂,hlld,]
㔉	[尸丿冂刂,dpml,zhú_zhǔ]
㔊	[亠囗一刂,yngl,dǎn_zhǎn]
㔋	[臣𠂉刂,fple,jiàn_lán_làn_jiān]
㔌	[耳又刂,hdle,zhòu_cǒu_zòu]
㔍	[⺮目廾刂,pnhl,duǒ_zhá_chuā]
㔎	[屮𠂤辛刀,auyd,xiè_yì]
㔏	[石石石刂,gggl,lì_luǒ]
㔐	[⺮二非刂,pell,]
㔑	[艹𠂤辛刀,huyd,chì_dào_qì_shuì]
㔒	[山隹口刂,mtol,xí]
㔓	[千力,rclq,jiǎn_xiàn]
㔔	[力口〇,cool,]
㔕	[气力,pclq,jí_yì]
㔖	[力口𠃍,cobl,jiā]
㔗	[弓{介下}力,dtcg,fèi_bèi_fú]
㔘	[屮凵力,aacl,chù]
㔙	[䒑廾力,xhcl,bǎng_péng_bēng]
㔚	[千口力,rocq,kǒu_jié]
㔛	[士口力,jocl,jié]
㔜	[爫子力,vbcl,bá_bó]
㔝	[一巾入力,gmvc,liǎng_liáng]
㔞	[千丬力,rxcq,kuài_kuàng_wàng]
㔟	[生九力,prcs,]
㔠	[曰勹乚力,kscc,hé_jiá_xiā]
㔡	[{囟框}乂比力,utvc,biē]
㔢	[糹⺈巴力,aqdc,jué_xuē]
㔣	[田田力,kkct,léi_lèi]
㔤	[宀丿田力,wpkc,shěn_xìn]
㔥	[罒厶力,macw,pí_bài]
㔦	[{养上}丶艮力,xwbc,yǎng]
㔧	[虍田力,lkch,xuè_lǜ]
㔨	[勹丬匕月,sxvs,bèi]
㔩	[勹土厶皿,sjam,è]
㔪	[勹鹵,sll,lǔ]
㔫	[𠂇匕,hvi,]
㔬	[匕早,vkzi,]
㔭	[匕日龰,vkli,chè_chí_yí]
㔮	[艹一匕匕,hgvv,nuó]
㔯	[匚几口,fqof,suǎn_xuán]
㔰	[匚夕卜,fqlf,héng]
㔱	[匚臼人,fuuf,yǔ]
㔲	[匚食九,fvrf,]
㔳	[匚食几,fvqf,guǐ_gùn_huán_jué]
㔴	[匚田八,fktf,yì]
㔵	[匚巳八,fdtf,xiàn_xuǎn]
㔶	[匚立貝,fynf,gòng_gǎn]
㔷	[匚一人,fguf,lòu]
㔸	[匚⺁几,frqf,tī]
㔹	[十力,ecl,lè]
㔺	[十七十,efeu,shì]
㔻	[不十,geub,pī]
㔼	[扌隹十,fteu,sǔn]
㔽	[⺊囗口,lnov,yào_yǒu]
㔾	[㔾,bu,jié]
㔿	[一丩,gau,zòu]
㕀	[由㔾,kbuo,]
㕁	[乂𠂇卩,thai,què]
㕂	[厂人乛,gubc,yín_qín]
㕃	[厂一廾,gghc,xī]
㕄	[厂一幺,ggac,zhì_zhǐ]
㕅	[厂甲,gkjc,jiǎ_jiá]
㕆	[厂古,gjgc,hù]
㕇	[厂立,gylc,lá_lā]
㕈	[厂衣,gwyc,hòu_yǐ]
㕉	[厂人口,guoc,kè]
㕊	[厂甫,gefc,fū]
㕋	[厂金,gvvc,jìng_qín]
㕌	[厂日寸,gkic,ài]
㕍	[厂隹,gtwc,]
㕎	[厂土皿,gjmc,è_kè_kǔn]
㕏	[厂一十,ggec,chú]
㕐	[厂臼灬,gusc,xiě_xiè]
㕑	[厂士寸,gjic,chú]
㕒	[厂䒑戈,gxfc,wéi_wěi_wēi]
㕓	[厂黑土,gmjc,]
㕔	[厂耳心,ghrc,]
㕕	[厶厶,aaii,huàn]
㕖	[厶厶木,aaii,sù]
㕗	[䒑土丶厶,xjwa,yòu]
㕘	[厶厶小,aaci,cān]
㕙	[厶八丶,atwi,jùn_ruì]
㕚	[又⺀,dzuo,zhǎo]
㕛	[又又,ddoo,xù_yǒu_yòu]
㕜	[口丨又,okdo,shǐ]
㕝	[古又,jdog,]
㕞	[尸巾又,dmdo,shuā]
㕟	[⺊冊又,lmdo,kuì_kuài]
㕠	[冫隹又,xtds,shuāng]
㕡	[⺊冖口又,lqod,hé_hè_huò]
㕢	[⺊冖貝又,lqnd,gài_hài_jù_lǔn_nǒu]
㕣	[八口,tov,yǎn_yàn]
㕤	[口九,orj,qiú]
㕥	[口人,ouu,yǐ_shēn]
㕦	[口大,ofd,huà]
㕧	[口尸,odv,xī]
㕨	[口凡,oqa,fàn]
㕩	[口丰,oif,zhàng_pàng]
㕪	[口冖儿,oqve,dǎn]
㕫	[口方,oyu,fǎng_fēng]
㕬	[口八厶,otai,sòng_gōng]
㕭	[口夭,ory,ào_bì]
㕮	[口八乂,otti,fǔ_tiào]
㕯	[冂人口,muov,nè]
㕰	[口毛,orm,hè_ma_xuè]
㕱	[口尤,ojo,yóu]
㕲	[口木,oiv,huá_yíng]
㕳	[口乂凵,otau,]
㕴	[口冖几,oqqj,chén]
